time,ax,ay,az,wx,wy,wz,activity Label,activity
0.0,-0.8541259765625,-0.3641357421875,-0.438720703125,-5.426829268292684,1.9207317073170733,-7.134146341463415,2,Drawer
0.0,-0.8526611328125,-0.3658447265625,-0.40576171875,-10.396341463414634,0.3353658536585366,-16.463414634146343,2,Drawer
0.0,-0.854248046875,-0.36669921875,-0.4049072265625,-8.475609756097562,-8.384146341463415,-17.225609756097562,2,Drawer
0.0,-0.8543701171875,-0.3671875,-0.4044189453125,1.676829268292683,-10.30487804878049,-16.951219512195124,2,Drawer
0.001,-0.8541259765625,-0.3662109375,-0.40380859375,2.5914634146341466,-11.189024390243903,-16.128048780487806,2,Drawer
0.056,-0.8519287109375,-0.365478515625,-0.403076171875,2.6524390243902443,-11.371951219512196,-6.7682926829268295,2,Drawer
0.056,-0.8521728515625,-0.36376953125,-0.40234375,2.4695121951219514,-10.792682926829269,-5.76219512195122,2,Drawer
0.057,-0.8505859375,-0.36083984375,-0.4033203125,2.5609756097560976,-9.542682926829269,-3.932926829268293,2,Drawer
0.057,-0.848876953125,-0.386962890625,-0.438232421875,2.1951219512195124,-8.01829268292683,-10.701219512195124,2,Drawer
0.059,-0.8480224609375,-0.3836669921875,-0.4420166015625,0.8841463414634148,2.25609756097561,-9.085365853658537,2,Drawer
0.166,-0.84619140625,-0.383056640625,-0.444091796875,-8.292682926829269,3.780487804878049,-8.689024390243903,2,Drawer
0.167,-0.8472900390625,-0.3828125,-0.4462890625,-9.176829268292684,-1.7987804878048783,-9.542682926829269,2,Drawer
0.168,-0.85009765625,-0.3834228515625,-0.4493408203125,-9.786585365853659,-0.7926829268292683,-10.213414634146343,2,Drawer
0.168,-0.853759765625,-0.3818359375,-0.452880859375,-10.091463414634147,-0.27439024390243905,-10.914634146341465,2,Drawer
0.169,-0.8541259765625,-0.3826904296875,-0.425048828125,-10.701219512195124,-0.6707317073170732,-11.036585365853659,2,Drawer
0.169,-0.8509521484375,-0.3837890625,-0.4263916015625,-11.28048780487805,-1.4634146341463417,-11.49390243902439,2,Drawer
0.276,-0.8514404296875,-0.3868408203125,-0.42578125,-11.402439024390246,-2.0426829268292686,-4.817073170731708,2,Drawer
0.277,-0.853759765625,-0.3873291015625,-0.4267578125,-10.579268292682928,-3.1097560975609757,-6.189024390243903,2,Drawer
0.277,-0.85595703125,-0.3856201171875,-0.4278564453125,-10.548780487804878,3.8414634146341466,-6.189024390243903,2,Drawer
0.277,-0.8533935546875,-0.38427734375,-0.428955078125,-11.128048780487806,2.5914634146341466,-4.969512195121951,2,Drawer
0.279,-0.850341796875,-0.3839111328125,-0.431884765625,-3.963414634146342,2.2865853658536586,-4.329268292682928,2,Drawer
0.386,-0.849853515625,-0.3841552734375,-0.4324951171875,-5.152439024390245,2.713414634146342,-4.75609756097561,2,Drawer
0.386,-0.8509521484375,-0.38427734375,-0.4354248046875,-5.884146341463415,2.713414634146342,-5.060975609756098,2,Drawer
0.387,-0.8515625,-0.3868408203125,-0.4365234375,-7.01219512195122,2.103658536585366,-6.097560975609756,2,Drawer
0.387,-0.8529052734375,-0.390380859375,-0.4373779296875,-7.134146341463415,1.3414634146341464,-7.195121951219513,2,Drawer
0.388,-0.855712890625,-0.359619140625,-0.468994140625,-6.676829268292684,-8.78048780487805,-17.04268292682927,2,Drawer
0.39,-0.857666015625,-0.3594970703125,-0.4693603515625,-6.097560975609756,-11.189024390243903,-18.323170731707318,2,Drawer
0.496,-0.855712890625,-0.3599853515625,-0.4375,-5.152439024390245,-16.06707317073171,-13.109756097560977,2,Drawer
0.496,-0.856201171875,-0.362060546875,-0.4371337890625,-4.603658536585367,-11.920731707317074,-23.871951219512198,2,Drawer
0.497,-0.83203125,-0.3905029296875,-0.4715576171875,-10.701219512195124,-19.54268292682927,-23.231707317073173,2,Drawer
0.497,-0.8353271484375,-0.3851318359375,-0.4747314453125,-10.640243902439025,-34.176829268292686,-28.719512195121954,2,Drawer
0.498,-0.841064453125,-0.3406982421875,-0.4793701171875,-6.585365853658537,-38.59756097560976,-37.46951219512196,2,Drawer
0.606,-0.8427734375,-0.333251953125,-0.48046875,-13.445121951219514,-56.15853658536586,-44.96951219512196,2,Drawer
0.716,-0.885498046875,-0.357421875,-0.4810791015625,-27.83536585365854,-66.40243902439025,-66.09756097560977,2,Drawer
0.716,-0.8895263671875,-0.3438720703125,-0.455078125,-47.804878048780495,-82.37804878048782,-67.83536585365854,2,Drawer
0.826,-0.86181640625,-0.3055419921875,-0.4815673828125,-68.14024390243902,-118.26219512195124,-83.07926829268294,2,Drawer
0.826,-0.890380859375,-0.346435546875,-0.434814453125,-96.85975609756099,-130.70121951219514,-91.52439024390245,2,Drawer
0.827,-0.83837890625,-0.35498046875,-0.4296875,-125.27439024390245,-160.21341463414635,-111.34146341463416,2,Drawer
0.937,-0.855224609375,-0.3583984375,-0.4508056640625,-137.6829268292683,-177.50000000000003,-120.85365853658537,2,Drawer
0.938,-0.8480224609375,-0.3857421875,-0.40185546875,-170.39634146341464,-199.60365853658539,-135.0609756097561,2,Drawer
0.938,-0.8062744140625,-0.399658203125,-0.371337890625,-197.19512195121953,-217.71341463414635,-141.09756097560978,2,Drawer
0.938,-0.821533203125,-0.4263916015625,-0.387451171875,-209.69512195121953,-234.63414634146343,-141.34146341463415,2,Drawer
