time,ax,ay,az,wx,wy,wz,activity Label,activity
0.0,-1.013916015625,-0.2220458984375,-0.255615234375,14.390243902439027,9.02439024390244,6.707317073170732,6,Knocking
0.0,-1.0130615234375,-0.22802734375,-0.2109375,14.359756097560977,-1.676829268292683,18.353658536585368,6,Knocking
0.001,-0.9642333984375,-0.219970703125,-0.210693359375,26.128048780487806,-3.689024390243903,13.628048780487806,6,Knocking
0.003,-0.955810546875,-0.1729736328125,-0.2171630859375,19.695121951219512,-1.5853658536585367,12.80487804878049,6,Knocking
0.131,-0.98193359375,-0.1959228515625,-0.2520751953125,19.969512195121954,10.091463414634147,14.207317073170733,6,Knocking
0.132,-0.980224609375,-0.1888427734375,-0.216064453125,27.042682926829272,4.0548780487804885,15.365853658536587,6,Knocking
0.132,-0.976806640625,-0.1904296875,-0.2091064453125,25.762195121951223,9.05487804878049,15.182926829268293,6,Knocking
0.132,-0.968994140625,-0.1549072265625,-0.23095703125,27.28658536585366,-3.658536585365854,13.506097560975611,6,Knocking
0.132,-0.93359375,-0.1527099609375,-0.227294921875,20.09146341463415,1.402439024390244,19.23780487804878,6,Knocking
0.19,-0.9371337890625,-0.14794921875,-0.2210693359375,20.0609756097561,-8.26219512195122,16.85975609756098,6,Knocking
0.19,-0.9700927734375,-0.149658203125,-0.183349609375,26.82926829268293,-9.878048780487806,15.853658536585368,6,Knocking
0.19,-0.9722900390625,-0.154541015625,-0.17236328125,26.00609756097561,-11.707317073170733,6.615853658536586,6,Knocking
0.191,-0.974609375,-0.1910400390625,-0.199462890625,25.945121951219516,-4.207317073170732,5.426829268292684,6,Knocking
0.193,-0.980712890625,-0.1943359375,-0.193359375,26.402439024390247,-11.341463414634147,5.182926829268293,6,Knocking
0.285,-0.9583740234375,-0.199462890625,-0.1556396484375,26.737804878048784,-10.945121951219512,6.250000000000001,6,Knocking
0.285,-0.959716796875,-0.17431640625,-0.14501953125,21.463414634146343,-4.695121951219512,17.713414634146343,6,Knocking
0.286,-0.9559326171875,-0.1763916015625,-0.14208984375,31.493902439024392,-4.786585365853659,11.737804878048781,6,Knocking
0.29,-0.978271484375,-0.1785888671875,-0.1666259765625,28.963414634146343,-9.390243902439025,13.993902439024392,6,Knocking
0.38,-0.9737548828125,-0.2010498046875,-0.167724609375,41.3719512195122,2.378048780487805,14.603658536585368,6,Knocking
0.38,-0.97119140625,-0.197998046875,-0.1697998046875,37.80487804878049,7.896341463414635,15.213414634146343,6,Knocking
0.38,-0.9697265625,-0.194091796875,-0.1419677734375,49.48170731707317,11.128048780487806,24.085365853658537,6,Knocking
0.381,-0.972900390625,-0.15380859375,-0.1494140625,46.646341463414636,6.128048780487806,24.725609756097562,6,Knocking
0.382,-0.974853515625,-0.1546630859375,-0.1533203125,57.65243902439025,5.2439024390243905,25.121951219512198,6,Knocking
0.475,-0.9736328125,-0.190185546875,-0.1900634765625,53.32317073170732,4.817073170731708,25.731707317073173,6,Knocking
0.476,-0.9713134765625,-0.1988525390625,-0.1910400390625,70.57926829268294,6.829268292682928,27.195121951219516,6,Knocking
0.476,-0.96923828125,-0.197265625,-0.1944580078125,78.56707317073172,15.76219512195122,20.945121951219512,6,Knocking
0.476,-0.936767578125,-0.1549072265625,-0.1990966796875,83.50609756097562,12.500000000000002,22.225609756097562,6,Knocking
0.478,-0.976318359375,-0.167724609375,-0.1724853515625,90.0609756097561,15.30487804878049,22.31707317073171,6,Knocking
0.571,-0.955322265625,-0.158935546875,-0.1744384765625,102.71341463414635,14.207317073170733,20.51829268292683,6,Knocking
0.572,-0.9569091796875,-0.12060546875,-0.175048828125,103.81097560975611,19.35975609756098,27.073170731707318,6,Knocking
0.572,-0.9561767578125,-0.119873046875,-0.203125,104.35975609756099,18.231707317073173,24.512195121951223,6,Knocking
0.573,-0.9608154296875,-0.1201171875,-0.19873046875,97.95731707317074,11.981707317073171,23.719512195121954,6,Knocking
0.665,-0.9609375,-0.119140625,-0.197998046875,100.73170731707317,14.26829268292683,23.8109756097561,6,Knocking
0.665,-0.9593505859375,-0.1099853515625,-0.201904296875,110.64024390243904,23.871951219512198,24.05487804878049,6,Knocking
0.665,-0.953857421875,-0.1322021484375,-0.17578125,111.4329268292683,27.25609756097561,23.628048780487806,6,Knocking
0.666,-0.9818115234375,-0.093017578125,-0.1832275390625,109.93902439024392,21.646341463414636,15.152439024390246,6,Knocking
0.668,-0.9805908203125,-0.08740234375,-0.2208251953125,98.29268292682927,31.981707317073173,13.932926829268293,6,Knocking
0.76,-0.9794921875,-0.1058349609375,-0.2301025390625,101.85975609756099,32.80487804878049,12.347560975609758,6,Knocking
0.763,-0.956298828125,-0.101806640625,-0.20361328125,84.42073170731707,32.6829268292683,18.07926829268293,6,Knocking
0.855,-0.955078125,-0.052978515625,-0.217041015625,77.8048780487805,20.243902439024392,16.981707317073173,6,Knocking
0.855,-0.956298828125,-0.071533203125,-0.258544921875,71.4939024390244,25.731707317073173,6.890243902439025,6,Knocking
0.855,-0.9619140625,-0.0704345703125,-0.2359619140625,51.06707317073171,12.865853658536587,10.853658536585368,6,Knocking
0.856,-0.967041015625,-0.0751953125,-0.2392578125,40.57926829268293,17.073170731707318,7.896341463414635,6,Knocking
0.857,-0.9666748046875,-0.052734375,-0.2391357421875,21.73780487804878,4.75609756097561,-2.408536585365854,6,Knocking
0.858,-1.0018310546875,-0.09521484375,-0.234619140625,6.951219512195123,-0.8231707317073171,1.128048780487805,6,Knocking
0.858,-1.008056640625,-0.0810546875,-0.2559814453125,-0.1829268292682927,3.5975609756097566,-9.26829268292683,6,Knocking
0.86,-1.00732421875,-0.0906982421875,-0.218017578125,0.48780487804878053,-8.871951219512196,-10.76219512195122,6,Knocking
0.95,-0.968017578125,-0.1285400390625,-0.2093505859375,-10.335365853658537,-11.128048780487806,-5.274390243902439,6,Knocking
0.95,-0.96484375,-0.1375732421875,-0.2332763671875,-6.371951219512195,-11.128048780487806,-7.713414634146342,6,Knocking
0.95,-0.958740234375,-0.1170654296875,-0.2294921875,-7.164634146341464,-11.250000000000002,-17.439024390243905,6,Knocking
0.952,-0.9532470703125,-0.12060546875,-0.2293701171875,-7.073170731707318,-10.975609756097562,-18.445121951219512,6,Knocking
1.045,-0.98388671875,-0.1224365234375,-0.2310791015625,-7.25609756097561,-10.152439024390246,-18.597560975609756,6,Knocking
1.045,-0.98046875,-0.1234130859375,-0.2330322265625,-16.189024390243905,-9.969512195121952,-17.804878048780488,6,Knocking
1.046,-0.9754638671875,-0.1202392578125,-0.20556640625,-17.012195121951223,-9.695121951219512,-16.615853658536587,6,Knocking
1.047,-0.9716796875,-0.12158203125,-0.2064208984375,-12.408536585365855,-9.756097560975611,-7.408536585365854,6,Knocking
1.049,-0.97314453125,-0.156982421875,-0.205810546875,-13.750000000000002,-9.329268292682928,-6.4939024390243905,6,Knocking
