time,ax,ay,az,wx,wy,wz,activity Label,activity
0.0,-0.9268798828125,-0.3150634765625,-0.1322021484375,-19.908536585365855,-9.085365853658537,-3.0182926829268295,2,Drawer
0.0,-0.9278564453125,-0.3232421875,-0.1270751953125,-18.84146341463415,0.06097560975609757,-2.8353658536585367,2,Drawer
0.0,-0.92626953125,-0.298828125,-0.093505859375,-10.975609756097562,0.7317073170731708,-3.4451219512195124,2,Drawer
0.0,-0.95068359375,-0.2987060546875,-0.1285400390625,4.298780487804878,3.5670731707317076,3.689024390243903,2,Drawer
0.138,-0.952880859375,-0.3267822265625,-0.1319580078125,14.176829268292684,-0.8841463414634148,2.7439024390243905,2,Drawer
0.138,-0.92529296875,-0.31494140625,-0.1104736328125,33.8719512195122,10.823170731707318,2.0121951219512195,2,Drawer
0.139,-0.92626953125,-0.268798828125,-0.1197509765625,31.09756097560976,5.274390243902439,1.4634146341463417,2,Drawer
0.139,-0.9345703125,-0.2464599609375,-0.160888671875,40.09146341463415,7.286585365853659,-7.835365853658537,2,Drawer
0.139,-0.97119140625,-0.2366943359375,-0.1630859375,28.262195121951223,6.402439024390245,-9.085365853658537,2,Drawer
0.139,-0.976318359375,-0.2615966796875,-0.1612548828125,19.847560975609756,10.609756097560977,-9.207317073170733,2,Drawer
0.14,-0.975341796875,-0.2606201171875,-0.1595458984375,13.932926829268293,-0.3658536585365854,-8.506097560975611,2,Drawer
0.141,-0.96923828125,-0.265625,-0.1585693359375,15.884146341463415,2.957317073170732,0.6707317073170732,2,Drawer
0.141,-0.93408203125,-0.2386474609375,-0.1571044921875,8.231707317073171,1.2195121951219514,1.25,2,Drawer
0.142,-0.931640625,-0.248046875,-0.1199951171875,-3.7195121951219514,0.48780487804878053,1.6463414634146343,2,Drawer
0.144,-0.93212890625,-0.2843017578125,-0.11669921875,0.701219512195122,0.1829268292682927,2.0121951219512195,2,Drawer
0.247,-0.9342041015625,-0.2889404296875,-0.11279296875,0.06097560975609757,-7.987804878048781,2.439024390243903,2,Drawer
0.248,-0.9332275390625,-0.287841796875,-0.114013671875,0.5487804878048781,-8.323170731707318,2.5609756097560976,2,Drawer
0.248,-0.935791015625,-0.283935546875,-0.1168212890625,0.5792682926829269,0.06097560975609757,1.8902439024390245,2,Drawer
0.248,-0.9375,-0.2835693359375,-0.115966796875,0.12195121951219513,0.27439024390243905,1.4634146341463417,2,Drawer
0.249,-0.93603515625,-0.283935546875,-0.115234375,-8.445121951219512,0.12195121951219513,1.128048780487805,2,Drawer
0.25,-0.9342041015625,-0.28466796875,-0.1146240234375,-8.99390243902439,0.0,0.9146341463414634,2,Drawer
0.357,-0.931396484375,-0.2884521484375,-0.1142578125,-9.420731707317074,0.2134146341463415,0.24390243902439027,2,Drawer
0.357,-0.9296875,-0.29150390625,-0.1141357421875,-9.390243902439025,0.6707317073170732,-7.835365853658537,2,Drawer
0.358,-0.930419921875,-0.2950439453125,-0.1123046875,-8.170731707317074,1.9207317073170733,0.12195121951219513,2,Drawer
0.359,-0.9307861328125,-0.296142578125,-0.11181640625,0.701219512195122,2.4695121951219514,0.6097560975609757,2,Drawer
0.359,-0.93115234375,-0.2952880859375,-0.113525390625,2.103658536585366,3.1707317073170733,1.128048780487805,2,Drawer
0.467,-0.93310546875,-0.2928466796875,-0.114501953125,2.6524390243902443,3.5670731707317076,1.829268292682927,2,Drawer
0.467,-0.93505859375,-0.290283203125,-0.1160888671875,2.8353658536585367,3.414634146341464,3.3231707317073176,2,Drawer
0.468,-0.9356689453125,-0.28955078125,-0.1168212890625,2.8353658536585367,3.079268292682927,-3.7195121951219514,2,Drawer
0.468,-0.935302734375,-0.2882080078125,-0.1156005859375,2.713414634146342,2.1951219512195124,-3.3231707317073176,2,Drawer
0.469,-0.93505859375,-0.2860107421875,-0.1156005859375,2.6524390243902443,1.7378048780487807,-3.414634146341464,2,Drawer
0.471,-0.9327392578125,-0.2830810546875,-0.1170654296875,1.7987804878048783,1.0060975609756098,-3.8414634146341466,2,Drawer
0.577,-0.9306640625,-0.28369140625,-0.118408203125,1.128048780487805,0.9451219512195123,3.231707317073171,2,Drawer
0.578,-0.9329833984375,-0.2862548828125,-0.1165771484375,0.7317073170731708,1.4939024390243905,2.073170731707317,2,Drawer
0.579,-0.93212890625,-0.2882080078125,-0.1148681640625,0.7621951219512195,1.2195121951219514,1.676829268292683,2,Drawer
0.579,-0.9307861328125,-0.2872314453125,-0.114990234375,1.5548780487804879,0.8841463414634148,1.0670731707317074,2,Drawer
0.58,-0.9334716796875,-0.2890625,-0.112548828125,1.5853658536585367,0.4573170731707317,0.3353658536585366,2,Drawer
0.687,-0.9349365234375,-0.2889404296875,-0.111328125,1.5853658536585367,-8.810975609756099,-8.689024390243903,2,Drawer
0.69,-0.9365234375,-0.2490234375,-0.119140625,0.853658536585366,-10.121951219512196,-9.51219512195122,2,Drawer
0.69,-0.972412109375,-0.2420654296875,-0.1204833984375,-4.451219512195122,-4.725609756097561,-11.49390243902439,2,Drawer
0.69,-0.9718017578125,-0.241455078125,-0.118896484375,-16.3109756097561,-6.432926829268293,-4.0548780487804885,2,Drawer
0.692,-0.9375,-0.281982421875,-0.1141357421875,-12.74390243902439,-7.621951219512196,-4.024390243902439,2,Drawer
0.797,-0.93310546875,-0.2945556640625,-0.13818359375,-13.170731707317074,-7.500000000000001,-11.250000000000002,2,Drawer
0.797,-0.928955078125,-0.2686767578125,-0.1375732421875,-17.59146341463415,-6.036585365853659,-9.573170731707318,2,Drawer
0.797,-0.9268798828125,-0.2706298828125,-0.1368408203125,-6.219512195121951,-4.024390243902439,-8.445121951219512,2,Drawer
0.799,-0.9263916015625,-0.270263671875,-0.1373291015625,-8.658536585365855,-8.597560975609756,0.7621951219512195,2,Drawer
0.799,-0.927978515625,-0.26806640625,-0.14013671875,2.225609756097561,1.2804878048780488,1.4939024390243905,2,Drawer
0.8,-0.9326171875,-0.2930908203125,-0.1109619140625,-2.4695121951219514,3.353658536585366,2.25609756097561,2,Drawer
0.907,-0.9364013671875,-0.28759765625,-0.115234375,-1.4939024390243905,-3.658536585365854,3.1097560975609757,2,Drawer
0.907,-0.9365234375,-0.2489013671875,-0.1180419921875,-2.957317073170732,-3.7500000000000004,-3.5975609756097566,2,Drawer
1.017,-0.937255859375,-0.24755859375,-0.1165771484375,2.6219512195121952,3.7195121951219514,-3.5975609756097566,2,Drawer
1.018,-0.9718017578125,-0.2486572265625,-0.1116943359375,-8.932926829268293,1.9512195121951221,3.628048780487805,2,Drawer
1.018,-0.9691162109375,-0.2825927734375,-0.1103515625,-10.365853658536587,0.2134146341463415,3.689024390243903,2,Drawer
1.018,-0.933837890625,-0.2861328125,-0.110595703125,-11.432926829268293,-9.115853658536587,2.9268292682926833,2,Drawer
1.022,-0.9322509765625,-0.2882080078125,-0.110107421875,-11.371951219512196,-9.146341463414634,2.225609756097561,2,Drawer
1.023,-0.93359375,-0.2880859375,-0.1405029296875,-11.28048780487805,-9.115853658536587,0.8231707317073171,2,Drawer
1.023,-0.9346923828125,-0.287353515625,-0.138916015625,-11.371951219512196,-9.603658536585368,-8.079268292682928,2,Drawer
1.023,-0.93408203125,-0.28759765625,-0.13916015625,-11.128048780487806,-10.579268292682928,-9.26829268292683,2,Drawer
1.024,-0.9342041015625,-0.2879638671875,-0.1396484375,-10.884146341463415,-10.76219512195122,-9.725609756097562,2,Drawer
1.238,-0.93505859375,-0.2869873046875,-0.1396484375,-10.701219512195124,-10.731707317073171,-10.0,2,Drawer
1.239,-0.9364013671875,-0.288330078125,-0.13818359375,-10.670731707317074,-10.792682926829269,-9.786585365853659,2,Drawer
1.347,-0.9359130859375,-0.2884521484375,-0.1370849609375,-10.487804878048781,-10.975609756097562,-8.902439024390244,2,Drawer
1.347,-0.93408203125,-0.28955078125,-0.1363525390625,-10.24390243902439,-11.371951219512196,0.701219512195122,2,Drawer
1.348,-0.9332275390625,-0.2904052734375,-0.1361083984375,-10.152439024390246,-11.036585365853659,2.0121951219512195,2,Drawer
1.349,-0.9320068359375,-0.29052734375,-0.1361083984375,-10.121951219512196,-10.670731707317074,2.713414634146342,2,Drawer
1.349,-0.930419921875,-0.2913818359375,-0.1357421875,-9.359756097560977,-9.420731707317074,3.7195121951219514,2,Drawer
1.352,-0.9312744140625,-0.29150390625,-0.13525390625,-8.353658536585366,-8.414634146341465,-3.5670731707317076,2,Drawer
1.677,-0.9307861328125,-0.288818359375,-0.13623046875,0.9756097560975611,0.6402439024390244,-3.353658536585366,2,Drawer
1.679,-0.930908203125,-0.28564453125,-0.1373291015625,1.4634146341463417,1.2804878048780488,-3.780487804878049,2,Drawer
1.68,-0.93408203125,-0.2484130859375,-0.139404296875,0.8841463414634148,1.9512195121951221,2.804878048780488,2,Drawer
