time,ax,ay,az,wx,wy,wz,activity Label,activity
0.0,-0.974365234375,-0.1248779296875,-0.1328125,-9.176829268292684,1.6463414634146343,2.530487804878049,1,Typing
0.0,-0.971923828125,-0.1585693359375,-0.1326904296875,-11.219512195121952,1.6158536585365855,0.701219512195122,1,Typing
0.0,-0.978515625,-0.166015625,-0.1297607421875,-3.932926829268293,1.7682926829268295,-8.353658536585366,1,Typing
0.001,-0.9539794921875,-0.1717529296875,-0.1273193359375,-10.670731707317074,1.7682926829268295,-9.481707317073171,1,Typing
0.001,-0.9647216796875,-0.1451416015625,-0.0936279296875,0.06097560975609757,1.524390243902439,-9.664634146341465,1,Typing
0.054,-1.0023193359375,-0.145751953125,-0.0927734375,2.103658536585366,1.4939024390243905,-9.51219512195122,1,Typing
0.054,-1.008056640625,-0.1424560546875,-0.125244140625,-3.0182926829268295,1.6463414634146343,-8.384146341463415,1,Typing
0.055,-1.0093994140625,-0.16943359375,-0.127685546875,-2.4695121951219514,1.9207317073170733,0.30487804878048785,1,Typing
0.055,-1.006591796875,-0.165771484375,-0.1307373046875,-3.8414634146341466,2.530487804878049,1.3109756097560976,1,Typing
0.056,-1.0020751953125,-0.1641845703125,-0.13037109375,2.378048780487805,2.5609756097560976,1.5853658536585367,1,Typing
0.164,-0.9573974609375,-0.1600341796875,-0.132568359375,-8.109756097560977,1.6463414634146343,1.7378048780487807,1,Typing
0.164,-0.978759765625,-0.15869140625,-0.13427734375,-10.0,1.0670731707317074,1.25,1,Typing
0.164,-0.9710693359375,-0.162841796875,-0.1346435546875,-4.664634146341464,1.1585365853658538,-7.957317073170732,1,Typing
0.165,-0.9722900390625,-0.1661376953125,-0.134521484375,-5.3048780487804885,1.524390243902439,-8.689024390243903,1,Typing
0.165,-0.9796142578125,-0.143798828125,-0.131591796875,-4.51219512195122,1.7378048780487807,-9.146341463414634,1,Typing
0.167,-0.957763671875,-0.149658203125,-0.1300048828125,-10.792682926829269,1.9207317073170733,-9.573170731707318,1,Typing
0.274,-1.0023193359375,-0.153564453125,-0.09326171875,0.6707317073170732,1.5548780487804879,-8.99390243902439,1,Typing
0.274,-1.0098876953125,-0.151611328125,-0.09228515625,3.1097560975609757,0.9146341463414634,-8.01829268292683,1,Typing
0.275,-1.00830078125,-0.1436767578125,-0.128173828125,-2.2865853658536586,-8.01829268292683,2.225609756097561,1,Typing
0.276,-1.0048828125,-0.1690673828125,-0.13232421875,-2.378048780487805,0.5792682926829269,3.353658536585366,1,Typing
0.277,-1.00341796875,-0.1627197265625,-0.132568359375,3.1097560975609757,2.378048780487805,-3.26219512195122,1,Typing
0.384,-0.9647216796875,-0.1595458984375,-0.131591796875,1.25,2.225609756097561,-2.439024390243903,1,Typing
0.384,-0.9808349609375,-0.1568603515625,-0.1326904296875,-9.420731707317074,1.25,-2.682926829268293,1,Typing
0.386,-0.9691162109375,-0.1568603515625,-0.1348876953125,-4.115853658536586,0.9451219512195123,3.50609756097561,1,Typing
0.386,-0.97216796875,-0.1630859375,-0.135498046875,-5.182926829268293,1.6463414634146343,0.9146341463414634,1,Typing
0.387,-0.9798583984375,-0.168701171875,-0.132568359375,-4.847560975609756,2.5914634146341466,-8.079268292682928,1,Typing
0.494,-0.9637451171875,-0.1451416015625,-0.1290283203125,-10.945121951219512,2.7439024390243905,-8.597560975609756,1,Typing
0.494,-1.002685546875,-0.1466064453125,-0.127685546875,1.0365853658536586,2.378048780487805,-7.987804878048781,1,Typing
0.495,-1.00732421875,-0.1435546875,-0.1292724609375,3.658536585365854,1.9512195121951221,0.6097560975609757,1,Typing
0.496,-1.00634765625,-0.17138671875,-0.131591796875,-1.9512195121951221,1.9207317073170733,1.5853658536585367,1,Typing
0.496,-1.0086669921875,-0.16796875,-0.133544921875,-1.9512195121951221,2.713414634146342,1.524390243902439,1,Typing
0.497,-1.0069580078125,-0.1644287109375,-0.134521484375,-3.353658536585366,2.5,1.9512195121951221,1,Typing
0.603,-0.9947509765625,-0.159912109375,-0.136962890625,2.530487804878049,1.707317073170732,2.347560975609756,1,Typing
