time,ax,ay,az,wx,wy,wz,activity Label,activity
0.0,-0.926025390625,-0.275634765625,-0.0888671875,-9.176829268292684,3.1097560975609757,-3.048780487804878,5,Typing
0.001,-0.9261474609375,-0.275634765625,-0.08837890625,-9.573170731707318,2.804878048780488,-3.414634146341464,5,Typing
0.001,-0.9256591796875,-0.275390625,-0.0887451171875,-9.786585365853659,2.073170731707317,3.1402439024390247,5,Typing
0.002,-0.9248046875,-0.2747802734375,-0.0919189453125,-9.817073170731708,1.6463414634146343,1.981707317073171,5,Typing
0.003,-0.9246826171875,-0.274658203125,-0.0928955078125,-10.426829268292684,1.0365853658536586,0.7317073170731708,5,Typing
0.104,-0.923828125,-0.2777099609375,-0.125244140625,-10.609756097560977,0.6097560975609757,0.3353658536585366,5,Typing
0.105,-0.9232177734375,-0.279052734375,-0.0931396484375,-10.121951219512196,0.5487804878048781,0.30487804878048785,5,Typing
0.106,-0.953125,-0.3160400390625,-0.0926513671875,-9.664634146341465,0.3353658536585366,0.39634146341463417,5,Typing
0.107,-0.953125,-0.31494140625,-0.093017578125,0.6707317073170732,0.48780487804878053,0.5792682926829269,5,Typing
0.108,-0.953125,-0.3126220703125,-0.0904541015625,2.957317073170732,1.0670731707317074,1.4634146341463417,5,Typing
0.21,-0.92236328125,-0.279052734375,-0.089599609375,-3.2926829268292686,1.4939024390243905,1.9512195121951221,5,Typing
0.211,-0.92333984375,-0.2750244140625,-0.087890625,-1.524390243902439,2.2865853658536586,2.103658536585366,5,Typing
0.315,-0.9234619140625,-0.270751953125,-0.0865478515625,-1.0060975609756098,2.5609756097560976,1.707317073170732,5,Typing
0.316,-0.9259033203125,-0.2657470703125,-0.08447265625,-1.1585365853658538,2.6524390243902443,0.48780487804878053,5,Typing
0.317,-0.927490234375,-0.294921875,-0.0828857421875,-1.8597560975609757,2.2865853658536586,-8.231707317073171,5,Typing
0.318,-0.92919921875,-0.2935791015625,-0.085693359375,2.682926829268293,0.7926829268292683,-10.853658536585368,5,Typing
0.319,-0.93359375,-0.2926025390625,-0.08544921875,0.48780487804878053,0.3658536585365854,-4.573170731707317,5,Typing
0.32,-0.972412109375,-0.287109375,-0.0882568359375,-9.329268292682928,-8.323170731707318,-5.853658536585367,5,Typing
0.321,-0.9779052734375,-0.2816162109375,-0.0904541015625,-5.823170731707317,-9.695121951219512,-6.859756097560976,5,Typing
0.321,-0.957275390625,-0.2401123046875,-0.125244140625,-12.164634146341465,-6.402439024390245,-17.378048780487806,5,Typing
0.419,-1.0003662109375,-0.2640380859375,-0.1259765625,-25.51829268292683,-19.085365853658537,-12.560975609756099,5,Typing
0.421,-1.0140380859375,-0.2181396484375,-0.129150390625,-31.82926829268293,-22.04268292682927,-24.725609756097562,5,Typing
0.422,-0.9893798828125,-0.2059326171875,-0.13330078125,-35.79268292682927,-30.33536585365854,-27.164634146341466,5,Typing
