,# YTID,start_seconds,end_seconds,positive_labels,label_names
0,--PJHxphWEs,30.0,40.0,"""/m/09x0r,/t/dd00088""",Speech | Gush
1,--ZhevVpy1s,50.0,60.0,"""/m/012xff""",Toothbrush
2,--aE2O5G5WE,0.0,10.0,"""/m/03fwl,/m/04rlf,/m/09x0r""",Goat | Music | Speech
3,--aO5cdqSAg,30.0,40.0,"""/t/dd00003,/t/dd00005""",Male singing | Child singing
4,--aaILOrkII,200.0,210.0,"""/m/032s66,/m/073cg4""","Gunshot, gunfire | Cap gun"
5,--cB2ZVjpnA,30.0,40.0,"""/m/01y3hg""","Smoke detector, smoke alarm"
6,--ekDLDTUXA,30.0,40.0,"""/m/015lz1,/m/07pws3f""",Singing | Bang
7,-0DLPzsiXXE,30.0,40.0,"""/m/04rlf,/m/07qwdck""",Music | Ping
8,-0DdlOuIFUI,50.0,60.0,"""/m/0130jx,/m/02jz0l,/m/0838f""","Sink (filling or washing) | Water tap, faucet | Water"
9,-0FHUc78Gqo,30.0,40.0,"""/m/02w4v,/m/04rlf""",Folk music | Music
10,-0O3e95y4gE,100.0,110.0,"""/m/07r4wb8,/t/dd00125""","Knock | Inside, small room"
11,-0SdAVK79lg,30.0,40.0,"""/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l""",Blues | Country | Guitar | Acoustic guitar | Music | Musical instrument | Strum | Plucked string instrument | Bluegrass
12,-0Vl4HyWRk8,410.0,420.0,"""/m/085jw,/m/0l14l2""","Wind instrument, woodwind instrument | Shofar"
13,-0mG4W5Hlq8,270.0,280.0,"""/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt""","Music | Music for children | Grunt | Speech | Child speech, kid speaking"
14,-0mjrMposBM,80.0,90.0,"""/m/04zmvq""",Train whistle
15,-11LhdJgBb8,30.0,40.0,"""/m/04rlf,/m/07qn4z3""",Music | Rattle
16,-1LrH01Ei1w,30.0,40.0,"""/m/02p0sh1,/m/04rlf""",Traditional music | Music
17,-1TLtjPtnms,10.0,20.0,"""/m/03lty,/m/04rlf,/m/07szfh9""",Heavy metal | Music | Cacophony
18,-1iKLvsRBbE,80.0,90.0,"""/m/015lz1,/m/07pws3f""",Singing | Bang
